model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,mae_users
TFT,3,S4,42,1764,13,0.16626464552059964,0.16626464552059964,,17.55250704856146
LSTM,3,S4,42,1764,13,0.17848781108341422,0.17848781108341422,,20.008700294018873
XGB,3,S4,42,1764,13,0.21837975402171253,0.21837975402171253,,23.943299620059612
TFT,10,S4,42,4320,12,0.2002817550332596,0.2002817550332596,,20.610191324573975
LSTM,10,S4,42,4320,12,0.3052241839752415,0.3052241839752415,,33.693757349914975
XGB,10,S4,42,4320,12,0.2673410657626108,0.2673410657626108,,28.852436765918025
TFT,15,S4,42,6300,12,0.1818229624976823,0.1818229624976823,,18.87553432260241
LSTM,15,S4,42,6300,12,0.18518464316905944,0.18518464316905944,,19.450755421471975
XGB,15,S4,42,6300,12,0.2785254355602033,0.2785254355602033,,28.98863765413799
