unique_id,ds,issue_date,y_true,y_pred
badia-de-pollenca,2025-09-01 08:00:00,2025-09-01,16.0,17.56112289428711
badia-de-pollenca,2025-09-01 09:00:00,2025-09-01,11.0,21.681028366088867
badia-de-pollenca,2025-09-01 10:00:00,2025-09-01,12.0,23.69116973876953
badia-de-pollenca,2025-09-01 11:00:00,2025-09-01,8.0,24.50455665588379
badia-de-pollenca,2025-09-01 12:00:00,2025-09-01,12.0,24.873096466064453
badia-de-pollenca,2025-09-01 13:00:00,2025-09-01,4.0,20.193492889404297
badia-de-pollenca,2025-09-01 14:00:00,2025-09-01,7.0,19.70473289489746
badia-de-pollenca,2025-09-01 15:00:00,2025-09-01,10.0,20.542930603027344
badia-de-pollenca,2025-09-01 16:00:00,2025-09-01,6.0,18.200410842895508
badia-de-pollenca,2025-09-01 17:00:00,2025-09-01,6.0,17.584672927856445
badia-de-pollenca,2025-09-01 18:00:00,2025-09-01,6.0,17.946739196777344
badia-de-pollenca,2025-09-01 19:00:00,2025-09-01,6.0,14.188397407531738
badia-de-pollenca,2025-09-01 20:00:00,2025-09-01,5.0,12.59450626373291
badia-de-pollenca,2025-09-02 08:00:00,2025-09-01,15.0,18.675281524658203
badia-de-pollenca,2025-09-02 09:00:00,2025-09-01,16.0,20.37394905090332
badia-de-pollenca,2025-09-02 10:00:00,2025-09-01,13.0,22.373859405517578
badia-de-pollenca,2025-09-02 11:00:00,2025-09-01,17.0,23.973827362060547
badia-de-pollenca,2025-09-02 12:00:00,2025-09-01,19.0,24.44273567199707
badia-de-pollenca,2025-09-02 13:00:00,2025-09-01,19.0,24.595111846923828
badia-de-pollenca,2025-09-02 14:00:00,2025-09-01,12.0,20.79001808166504
badia-de-pollenca,2025-09-02 15:00:00,2025-09-01,7.0,22.082324981689453
badia-de-pollenca,2025-09-02 16:00:00,2025-09-01,11.0,21.21038246154785
badia-de-pollenca,2025-09-02 17:00:00,2025-09-01,9.0,21.44898796081543
badia-de-pollenca,2025-09-02 18:00:00,2025-09-01,10.0,20.271963119506836
badia-de-pollenca,2025-09-02 19:00:00,2025-09-01,5.0,16.361928939819336
badia-de-pollenca,2025-09-02 20:00:00,2025-09-01,8.0,14.696861267089844
badia-de-pollenca,2025-09-03 08:00:00,2025-09-01,17.0,19.99204444885254
badia-de-pollenca,2025-09-03 09:00:00,2025-09-01,17.0,23.080339431762695
badia-de-pollenca,2025-09-03 10:00:00,2025-09-01,20.0,27.095951080322266
badia-de-pollenca,2025-09-03 11:00:00,2025-09-01,14.0,29.20455551147461
