model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,ratioMeans_all,meanNorm_all,mae_users,r2_median,r2_mean,row_set
TFT,15,walkforward,-1,29575,13,0.1857984301733019,0.2455027946423476,0.25390440783883045,0.1726953305947088,0.35685856617245465,17.637691927606248,0.44927161928508397,0.4885956587922861,identical_matched
LSTM,15,walkforward,-1,29575,13,0.44393791852412495,0.3293199401312412,0.3577959199694788,0.3785950152687845,0.7823307893942355,38.66660564384013,0.16083110791904676,-203.5288862347704,identical_matched
XGB,15,walkforward,-1,29575,13,0.27506056620170916,0.3340768279966252,0.3448785489236675,0.24940843551751984,0.5153789415359226,25.472542509722288,0.2839799210112359,-0.18955803694983112,identical_matched
