webcam_slug,n_pairs,mean_abs_err_dedicated,mean_abs_err_truncated,delta_mean,DM_stat,DM_p,Wilcoxon_stat,Wilcoxon_p
andratx,506,0.06818181818181818,0.1365612648221344,0.06837944664031623,3.7916170215737877,0.00014966959538775804,11160.0,4.833703956024795e-34
cala-fornells,506,5.425494071146246,6.921739130434783,1.4962450592885368,8.659872819424637,0.0,35655.0,1.889242857247679e-17
cala-fornells_1,503,5.745328031809144,8.441749502982107,2.696421471172963,10.119827704879228,0.0,33143.5,2.969701251636778e-19
cala-fornells_2,506,15.907312252964427,19.79624505928854,3.8889328063241138,4.279785183991216,1.8707378811155806e-05,40636.5,4.634212993897442e-12
cala-portals-vells,506,8.855138339920948,10.300197628458497,1.4450592885375482,2.4727598996365785,0.013407418560767992,47170.0,1.740657590660276e-06
cala-vedella,503,22.256461232604373,26.269184890656067,4.012723658051694,2.346172866290585,0.018967308222111345,46605.5,3.760450224234829e-07
cala-vedella_1,506,1.459486166007905,1.5889328063241106,0.12944664031620556,1.547214175313789,0.12181160891060516,50422.0,0.003801626200284799
camp-de-mar_1,78,26.097435897435894,34.7525641025641,8.655128205128207,,,1054.5,0.01549265201860078
can-pastilla-bonaona,505,31.304950495049503,34.17227722772277,2.86732673267327,2.2430987013742043,0.02489045040744875,56314.5,0.02107166501276924
can-pastilla_mallorca-pipeline,472,22.81186440677966,25.175,2.363135593220342,3.2731045912309664,0.0010637310762136032,44494.5,0.000301622309249437
es-pujols,507,7.394871794871794,7.857593688362919,0.4627218934911248,1.1569212014916919,0.247304555755131,53859.5,0.008231070590806562
golf-camp-de-mar,506,15.22391304347826,15.522727272727273,0.2988142292490128,0.4118163543095053,0.6804740333740171,56670.0,0.03970802899083937
marina,507,1.635897435897436,1.8143984220907299,0.1785009861932938,4.199558626496679,2.674357810406036e-05,45840.5,9.329827979042755e-05
muro-sector-i,156,15.862820512820512,17.39679487179487,1.5339743589743584,2.2761248223595074,0.022838539799574287,4593.0,0.009487007813426129
platja-de-peguera_1,506,39.28260869565217,62.586363636363636,23.303754940711464,8.690398526919987,0.0,24109.5,4.853797973451489e-34
platja-marina,507,2.1717948717948716,2.2708086785009867,0.09901380670611504,1.453910254048317,0.1459711895412874,55299.0,0.09053070997623926
playa-de-magaluf,506,18.54664031620553,20.471739130434784,1.9250988142292549,4.338958098562936,1.4315981215151652e-05,48483.5,2.684811811928395e-06
playa-de-palmira,506,21.94387351778656,25.345849802371543,3.4019762845849826,2.2665024824645577,0.023420635334878925,46090.5,8.235904492768645e-08
playa-de-palmira_1,506,20.01719367588933,22.9199604743083,2.90276679841897,2.5860647613925454,0.00970786886389119,50165.0,2.901628591188488e-05
playa-de-ses-penyes-roges,506,19.58320158102767,24.118379446640315,4.535177865612646,9.556674250364127,0.0,46247.0,7.647780524131773e-08
playa-de-tora,506,24.552766798418975,27.466403162055336,2.9136363636363605,,,47610.0,9.712830247510537e-07
playa-de-tora_1,506,31.57509881422925,41.115019762845854,9.539920948616604,5.551594253850886,2.830760181815606e-08,35759.0,6.496909263970411e-18
port,507,2.201183431952663,2.8130177514792902,0.6118343195266274,2.6080071295567824,0.009107105752132583,38971.5,2.917116043409899e-12
port-dandratx,506,7.908695652173914,10.953754940711462,3.0450592885375487,3.9559716240604885,7.622420903308225e-05,38040.5,2.1888447026250603e-15
port-dandratx-la-mola_1,506,15.841106719367588,17.926679841897233,2.085573122529645,2.1626924420605222,0.030564842796493963,50500.0,0.00010316102115198434
port-dandratx-port_1,506,5.464624505928853,6.956126482213439,1.491501976284586,2.406740844761185,0.0160955870902304,41768.5,2.3586737923407847e-10
punta-de-sa-galera,505,3.6431683168316833,3.4526732673267326,-0.19049504950495066,-1.5421309736405926,0.12304176956242285,56323.0,0.171302692503424
soller-santa-catalina-nord,507,0.2076923076923077,0.2613412228796844,0.05364891518737672,3.3715091852874703,0.0007475754578412097,14628.5,2.9901190075175657e-17
son-serra-de-marina,507,12.94181459566075,14.84043392504931,1.8986193293885592,2.1095037548530446,0.03490112225374209,47144.5,8.88053660614213e-07
__POOLED__,13860,13.550591630591631,16.439632034632034,2.8890404040404025,7.826450331354783,5.10702591327572e-15,33268380.0,8.077170453687527e-153
