model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,mae_users,matched
TFT,3,S3,-1,3312,4,0.25267412362818087,0.25267412362818087,0.2806106476970218,18.107805217377805,True
LSTM,3,S3,-1,3312,4,0.261273667157688,0.261273667157688,0.2892656243868589,21.417417305679137,True
XGB,3,S3,-1,3312,4,0.3465961470227106,0.3465961470227106,0.3810002109146784,27.18777019591723,True
TFT,10,S3,-1,10560,4,0.29557057483989374,0.29557057483989374,0.3309868663300819,20.779607639190825,True
LSTM,10,S3,-1,10560,4,0.37144931785645124,0.37144931785645124,0.4014710231555309,28.661852259956525,True
XGB,10,S3,-1,10560,4,0.38635609995350684,0.38635609995350684,0.4100869785598848,30.593613978926882,True
TFT,15,S3,-1,15660,4,0.2697159289926501,0.2697159289926501,0.29378624386117647,19.26869471458335,True
LSTM,15,S3,-1,15660,4,0.3149515810657493,0.3149515810657493,0.3525742764088805,25.375367525726137,True
XGB,15,S3,-1,15660,4,0.3913740757454616,0.3913740757454616,0.4131129480827202,31.736514850274812,True
