protocol,horizon_days,model_A,model_B,n_pairs,n_beaches,lag_NW,relMAE_A,relMAE_B,mean_loss_diff,DM_HLN,p_HLN,wilcoxon_p,winner
S3,3,TFT,LSTM,3312,4,8,0.11758315076219354,0.13907413834856583,-3.3096120883013316,-5.320811037077485,1.101746557449415e-07,0.000465272471685881,TFT
S3,3,TFT,XGB,3312,4,8,0.11758315076219354,0.17654396231115085,-9.079964978539426,-11.027410497212726,8.534816776270792e-28,4.904741376534903e-109,TFT
S3,10,TFT,LSTM,10560,4,11,0.13406198476897307,0.18491517587068726,-7.8822446207657,-16.84410284986446,7.639855412644543e-63,2.4545355196559033e-115,TFT
S3,10,TFT,XGB,10560,4,11,0.13406198476897307,0.19737815470275408,-9.814006339736057,-14.296032359400046,6.208881692172144e-46,1.478886254340825e-170,TFT
S3,15,TFT,LSTM,15660,4,12,0.12118675921121604,0.15959350645110779,-6.106672811142786,-15.3785206377271,5.563167080296251e-53,1.6343746093636973e-99,TFT
S3,15,TFT,XGB,15660,4,12,0.12118675921121604,0.1996007223287724,-12.467820135691461,-20.77814077144375,1.2855955034023571e-94,0.0,TFT
