model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,mae_users
TFT,3,cache2022,42,14256,13,0.22069083992974806,0.28055321965201735,0.2794097602781824,15.313959019941379
LSTM,3,cache2022,42,14256,13,0.2440337089154478,0.3067315431446311,0.307544645614506,18.406745058027184
XGB,3,cache2022,42,14256,13,0.35549992214840737,0.4252278062449029,0.4314388345464137,25.886727037213067
TFT,10,cache2022,42,45360,13,0.2530394905034956,0.3160998758426074,0.3237560162676649,17.400342833844444
LSTM,10,cache2022,42,45360,13,0.3330102632247923,0.42292801811690695,0.4251045750849952,24.057764453463243
XGB,10,cache2022,42,45360,13,0.4207752323662154,0.4948365789904133,0.5074235785575053,30.05817248796029
TFT,15,cache2022,42,66780,13,0.24106343027598862,0.29969823707394816,0.3033329750270171,16.369914286637883
LSTM,15,cache2022,42,66780,13,0.2857431647225013,0.3570181948544144,0.3684513532001208,21.87834944904118
XGB,15,cache2022,42,66780,13,0.4567142303452248,0.5228291713419378,0.5315258422591052,32.595816612620666
