protocol,horizon_days,model_A,model_B,n_pairs,n_beaches,lag_NW,relMAE_A,relMAE_B,mean_loss_diff,DM_HLN,p_HLN,wilcoxon_p,winner
cache2022,3,TFT,LSTM,14256,13,12,0.10938542157100985,0.1314767504144799,-3.0927860380858014,-9.336864005570495,1.136599934432329e-20,4.887837074969891e-33,TFT
cache2022,3,TFT,XGB,14256,13,12,0.10938542157100985,0.18490519312295048,-10.572768017271686,-20.11767591415031,8.786214840135643e-89,0.0,TFT
cache2022,10,TFT,LSTM,45360,13,15,0.12168071911779332,0.1682361150591835,-6.657421619618801,-31.13670311547293,1.2825898582339838e-210,0.0,TFT
cache2022,10,TFT,XGB,45360,13,15,0.12168071911779332,0.21019701040531671,-12.657829654115847,-34.12972607680795,4.224776512073889e-252,0.0,TFT
cache2022,15,TFT,LSTM,66780,13,16,0.11289596059750263,0.1508851686140771,-5.508435162403299,-20.886417563074456,1.4512086209726558e-96,0.0,TFT
cache2022,15,TFT,XGB,66780,13,16,0.11289596059750263,0.22479873525945288,-16.22590232598278,-47.150341450986225,0.0,0.0,TFT
