model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,mae_users,matched
TFT,3,S1,-1,6084,13,0.2726810333191405,0.2726810333191405,0.2726810333191405,20.068215536146397,True
LSTM,3,S1,-1,6084,13,0.30914909528126555,0.30914909528126555,0.30914909528126555,25.14201204215595,True
XGB,3,S1,-1,6084,13,0.4314388345464137,0.4314388345464137,0.4314388345464137,34.997147817411054,True
TFT,10,S1,-1,18720,13,0.3241727484917903,0.3241727484917903,0.3241727484917903,23.861676970126794,True
LSTM,10,S1,-1,18720,13,0.4253065273514655,0.4253065273514655,0.4253065273514655,33.1997321806657,True
XGB,10,S1,-1,18720,13,0.507670353611607,0.507670353611607,0.507670353611607,41.122623789259514,True
TFT,15,S1,-1,25740,13,0.3012525552792747,0.3012525552792747,0.3012525552792747,21.861263853723724,True
LSTM,15,S1,-1,25740,13,0.3697101295499461,0.3697101295499461,0.3697101295499461,31.834152737519684,True
XGB,15,S1,-1,25740,13,0.5297414781152658,0.5297414781152658,0.5297414781152658,42.85608989046449,True
