protocol,horizon_days,model_A,model_B,n_pairs,n_beaches,lag_NW,relMAE_A,relMAE_B,mean_loss_diff,DM_HLN,p_HLN,wilcoxon_p,winner
S1,3,TFT,LSTM,6084,13,9,0.11211293595612512,0.14045816783327342,-5.07379650600955,-10.150239985798441,5.131119331629284e-24,5.420452285661279e-34,TFT
S1,3,TFT,XGB,6084,13,9,0.11211293595612512,0.1955147922760394,-14.928932281264657,-17.381216933797997,4.4291908978175624e-66,2.261984565179551e-256,TFT
S1,10,TFT,LSTM,18720,13,12,0.12968302701155868,0.18043332706883533,-9.33805521053891,-25.939499720378773,8.92274475679543e-146,3.5117199538392804e-279,TFT
S1,10,TFT,XGB,18720,13,12,0.12968302701155868,0.2234925205938017,-17.26094681913272,-25.091021948247292,1.1231160117839146e-136,0.0,TFT
S1,15,TFT,LSTM,25740,13,13,0.11628331837087087,0.1693305996676579,-9.972888883795957,-19.902398315406224,1.766765636256833e-87,0.0,TFT
S1,15,TFT,XGB,25740,13,13,0.11628331837087087,0.2279579249492792,-20.994826036740754,-32.72880327420344,3.182083624367265e-230,0.0,TFT
