model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
lstm,10d,0,0.10556949886035749,COMPLETE,32.0,512.0,1.0,0.3005575058716044,37.0,4.0,64.0,120.0,0.001331121608073689,minmax,0 days 00:00:10.371831,,,,,,,,,,,,
lstm,10d,1,0.07089821402035876,COMPLETE,16.0,512.0,2.0,0.45466020103939103,35.0,2.0,32.0,24.0,5.9750279999602906e-05,standard,0 days 00:00:07.945644,,,,,,,,,,,,
lstm,10d,2,0.08621108281851775,COMPLETE,16.0,512.0,3.0,0.1792328642721363,42.0,2.0,128.0,72.0,2.2264204303769678e-05,standard,0 days 00:00:08.715468,,,,,,,,,,,,
lstm,10d,3,0.09166776694059521,COMPLETE,128.0,512.0,1.0,0.4040601897822085,38.0,2.0,512.0,36.0,0.000794714742465374,standard,0 days 00:00:11.038883,,,,,,,,,,,,
lstm,10d,4,0.06979061029853885,COMPLETE,16.0,128.0,2.0,0.025739375624994676,31.0,4.0,32.0,12.0,6.853925708853055e-05,standard,0 days 00:00:10.372490,,,,,,,,,,,,
lstm,10d,5,0.07772016513751812,COMPLETE,32.0,64.0,1.0,0.4386696766904905,42.0,3.0,128.0,48.0,5.940525755701928e-05,standard,0 days 00:00:09.283334,,,,,,,,,,,,
lstm,10d,6,0.08738128333955825,COMPLETE,16.0,192.0,2.0,0.32481644952360733,33.0,3.0,512.0,36.0,0.0035291509251299,standard,0 days 00:00:14.062775,,,,,,,,,,,,
lstm,10d,7,0.07452005688840314,COMPLETE,32.0,64.0,4.0,0.15846100257813883,34.0,4.0,96.0,36.0,3.22461774864237e-05,standard,0 days 00:00:10.519291,,,,,,,,,,,,
lstm,10d,8,0.10594138207463295,COMPLETE,64.0,384.0,3.0,0.1432706260641422,41.0,4.0,32.0,36.0,0.0005922427891922458,minmax,0 days 00:00:10.435850,,,,,,,,,,,,
lstm,10d,9,0.08576361011535727,COMPLETE,16.0,192.0,2.0,0.13996694847297142,31.0,2.0,384.0,36.0,0.007321428778380786,robust,0 days 00:00:11.132161,,,,,,,,,,,,
lstm,10d,10,0.0997388162988224,COMPLETE,32.0,384.0,4.0,0.4701151207124788,31.0,2.0,64.0,36.0,0.0005326262097599815,minmax,0 days 00:00:09.078349,,,,,,,,,,,,
lstm,10d,11,0.10161752896661155,COMPLETE,16.0,32.0,4.0,0.3882064803709984,31.0,2.0,256.0,36.0,0.0001052956962803246,minmax,0 days 00:00:12.053911,,,,,,,,,,,,
lstm,10d,12,0.07720652838975955,COMPLETE,32.0,384.0,4.0,0.17545750627603934,43.0,4.0,512.0,48.0,2.244920931433379e-05,robust,0 days 00:00:17.932137,,,,,,,,,,,,
lstm,10d,13,0.08373815941131851,COMPLETE,64.0,384.0,3.0,0.2916843825485798,38.0,3.0,512.0,120.0,0.007700477308294278,minmax,0 days 00:00:20.534926,,,,,,,,,,,,
lstm,10d,14,0.07819091268943171,COMPLETE,128.0,64.0,2.0,0.48719740383308324,30.0,1.0,64.0,72.0,0.00909143071669246,standard,0 days 00:00:06.092646,,,,,,,,,,,,
lstm,10d,15,0.08274194183756581,COMPLETE,16.0,96.0,4.0,0.2777158528013137,42.0,3.0,384.0,24.0,0.0020275064549386645,standard,0 days 00:00:12.926841,,,,,,,,,,,,
lstm,10d,16,0.0754713270186389,COMPLETE,32.0,512.0,1.0,0.4520793472468742,40.0,1.0,32.0,24.0,0.00011085783711666661,robust,0 days 00:00:05.967267,,,,,,,,,,,,
lstm,10d,17,0.07954904557427435,COMPLETE,128.0,256.0,1.0,0.044351266878527806,41.0,1.0,64.0,120.0,2.3009522878251242e-05,minmax,0 days 00:00:05.478828,,,,,,,,,,,,
lstm,10d,18,0.09596460497851056,COMPLETE,128.0,192.0,2.0,0.13462161547469048,36.0,1.0,64.0,24.0,0.00013547291924247333,minmax,0 days 00:00:06.102394,,,,,,,,,,,,
lstm,10d,19,0.08567389042593324,COMPLETE,16.0,128.0,2.0,0.26225569478512734,32.0,2.0,384.0,96.0,0.00017029052365462639,minmax,0 days 00:00:15.703793,,,,,,,,,,,,
lstm,10d,20,0.10762179119636073,COMPLETE,16.0,192.0,1.0,0.12732032738188193,39.0,4.0,256.0,48.0,0.0011079193990007916,minmax,0 days 00:00:17.222826,,,,,,,,,,,,
lstm,10d,21,0.08982237227199799,COMPLETE,128.0,256.0,2.0,0.2513601950462396,42.0,1.0,32.0,36.0,4.973224739993157e-05,minmax,0 days 00:00:06.013805,,,,,,,,,,,,
lstm,10d,22,0.09682974152915277,COMPLETE,16.0,96.0,4.0,0.3600182682730372,30.0,4.0,64.0,96.0,0.0008383838400775539,minmax,0 days 00:00:10.649066,,,,,,,,,,,,
lstm,10d,23,0.08706226948172403,COMPLETE,32.0,192.0,2.0,0.46042094130868616,37.0,1.0,256.0,120.0,0.004070887363880804,minmax,0 days 00:00:10.973871,,,,,,,,,,,,
lstm,10d,24,0.09344621192438364,COMPLETE,128.0,96.0,1.0,0.2510975051656213,36.0,3.0,512.0,120.0,0.0006111601825712035,standard,0 days 00:00:20.511995,,,,,,,,,,,,
lstm,10d,25,0.07147149054739516,COMPLETE,32.0,128.0,1.0,0.05205429099228692,31.0,1.0,64.0,36.0,0.002510430809059628,standard,0 days 00:00:06.064099,,,,,,,,,,,,
lstm,10d,26,0.07842411579078981,COMPLETE,64.0,32.0,1.0,0.3818028970798804,32.0,2.0,512.0,72.0,2.632325114433727e-05,standard,0 days 00:00:14.473624,,,,,,,,,,,,
lstm,10d,27,0.08017198694894982,COMPLETE,32.0,32.0,4.0,0.4572059729624799,37.0,3.0,96.0,12.0,0.00018043117389568452,robust,0 days 00:00:10.368743,,,,,,,,,,,,
lstm,10d,28,0.0779093026127535,COMPLETE,16.0,192.0,3.0,0.1232010166195534,42.0,3.0,64.0,72.0,0.0028662030447960626,standard,0 days 00:00:10.245546,,,,,,,,,,,,
lstm,10d,29,0.09139300216227839,COMPLETE,32.0,96.0,4.0,0.4855291225826839,35.0,3.0,32.0,12.0,0.006804550904198495,standard,0 days 00:00:10.594188,,,,,,,,,,,,
lstm,10d,30,0.11057189418786101,COMPLETE,32.0,96.0,2.0,0.23993781015195442,45.0,2.0,192.0,24.0,0.0007629856846111094,robust,0 days 00:00:10.574877,,,,,,,,,,,,
lstm,10d,31,0.08018124426391976,COMPLETE,128.0,256.0,1.0,0.2563442555082543,32.0,4.0,128.0,96.0,4.920502254761879e-05,standard,0 days 00:00:11.356741,,,,,,,,,,,,
lstm,10d,32,0.07720449149157446,COMPLETE,16.0,96.0,4.0,0.186344258506157,34.0,4.0,64.0,36.0,6.0153562283478e-05,standard,0 days 00:00:12.228870,,,,,,,,,,,,
lstm,10d,33,0.07885559507099324,COMPLETE,32.0,128.0,2.0,0.3717541281458039,38.0,4.0,96.0,36.0,3.0358456568497093e-05,robust,0 days 00:00:10.842419,,,,,,,,,,,,
lstm,10d,34,0.09303225701773377,COMPLETE,16.0,128.0,1.0,0.37482591587146236,41.0,1.0,384.0,96.0,2.4561716845766724e-05,minmax,0 days 00:00:12.419887,,,,,,,,,,,,
lstm,10d,35,0.08482694300788861,COMPLETE,128.0,96.0,2.0,0.01556704144225568,39.0,4.0,128.0,24.0,0.0009015721260209727,minmax,0 days 00:00:10.908847,,,,,,,,,,,,
lstm,10d,36,0.07953654955779213,COMPLETE,32.0,512.0,1.0,0.30001027405965186,35.0,3.0,64.0,48.0,7.498730336620308e-05,robust,0 days 00:00:10.357359,,,,,,,,,,,,
lstm,10d,37,0.09649696912417438,COMPLETE,16.0,96.0,1.0,0.27064816765053523,30.0,1.0,384.0,36.0,0.001340236861112883,standard,0 days 00:00:09.872787,,,,,,,,,,,,
lstm,10d,38,0.09214323442360528,COMPLETE,64.0,128.0,4.0,0.03609920448958792,37.0,4.0,128.0,72.0,1.2358265085420936e-05,minmax,0 days 00:00:12.223930,,,,,,,,,,,,
lstm,10d,39,0.09331356468051538,COMPLETE,16.0,128.0,1.0,0.2461389282240174,37.0,1.0,256.0,48.0,5.516876007075893e-05,minmax,0 days 00:00:10.325257,,,,,,,,,,,,
lstm,10d,40,0.07383079740633465,COMPLETE,32.0,64.0,3.0,0.08864001563274601,33.0,2.0,96.0,12.0,0.0003105109516983296,standard,0 days 00:00:09.556879,,,,,,,,,,,,
lstm,10d,41,0.07422677359772877,COMPLETE,32.0,64.0,3.0,0.08656337926550017,33.0,2.0,96.0,12.0,0.00024380003254969372,standard,0 days 00:00:09.677682,,,,,,,,,,,,
lstm,10d,42,0.07409691653082996,COMPLETE,32.0,64.0,3.0,0.07479310651661805,33.0,2.0,96.0,12.0,0.00032778064382074813,standard,0 days 00:00:09.694652,,,,,,,,,,,,
lstm,10d,43,0.07485426344715401,COMPLETE,32.0,64.0,3.0,0.07949163970654984,33.0,2.0,96.0,12.0,0.00030952090692393534,standard,0 days 00:00:09.648703,,,,,,,,,,,,
lstm,10d,44,0.0890190623035384,COMPLETE,32.0,64.0,3.0,0.08973179787230691,34.0,2.0,32.0,12.0,0.0003622305354191547,standard,0 days 00:00:09.614525,,,,,,,,,,,,
lstm,10d,45,0.06928253656134413,COMPLETE,32.0,512.0,3.0,0.060525001112045264,31.0,2.0,96.0,12.0,1.1130922167674138e-05,standard,0 days 00:00:09.700634,,,,,,,,,,,,
lstm,10d,46,0.06910154579861838,COMPLETE,32.0,512.0,3.0,0.005028798434147282,31.0,2.0,32.0,12.0,1.0273124488771887e-05,standard,0 days 00:00:09.687638,,,,,,,,,,,,
lstm,10d,47,0.0690860603853187,COMPLETE,64.0,512.0,3.0,0.01619807607764559,31.0,2.0,32.0,12.0,1.1220188201249116e-05,standard,0 days 00:00:09.670332,,,,,,,,,,,,
lstm,10d,48,0.06910911218998582,COMPLETE,64.0,512.0,3.0,0.0006044436588627479,31.0,2.0,32.0,12.0,1.0253539011030566e-05,standard,0 days 00:00:09.724138,,,,,,,,,,,,
lstm,10d,49,0.06908330558818387,COMPLETE,64.0,512.0,3.0,0.0005119303424662783,30.0,2.0,32.0,12.0,1.1527298690529961e-05,standard,0 days 00:00:09.699040,,,,,,,,,,,,
lstm,10d,50,0.06908588616597018,COMPLETE,64.0,512.0,3.0,0.00240019467959492,30.0,2.0,32.0,12.0,1.0691413891377478e-05,standard,0 days 00:00:09.711359,,,,,,,,,,,,
lstm,10d,51,0.06909583073314311,COMPLETE,64.0,512.0,3.0,0.013547658547255325,30.0,2.0,32.0,12.0,1.0606305268103676e-05,standard,0 days 00:00:09.806959,,,,,,,,,,,,
lstm,10d,52,0.06913288038625495,COMPLETE,64.0,512.0,3.0,0.001314480484359902,30.0,2.0,32.0,12.0,1.5069872530998835e-05,standard,0 days 00:00:09.637751,,,,,,,,,,,,
lstm,10d,53,0.06910635476016251,COMPLETE,64.0,512.0,3.0,0.002965920402984174,30.0,2.0,32.0,12.0,1.7349417686747537e-05,standard,0 days 00:00:09.745386,,,,,,,,,,,,
lstm,10d,54,0.06911317515651857,COMPLETE,64.0,512.0,3.0,0.02564821347245707,30.0,2.0,32.0,12.0,1.7727275186238114e-05,standard,0 days 00:00:09.767017,,,,,,,,,,,,
lstm,10d,55,0.0690983514888257,COMPLETE,64.0,512.0,3.0,0.023921109623552834,32.0,2.0,32.0,12.0,1.595033451071074e-05,standard,0 days 00:00:09.685487,,,,,,,,,,,,
lstm,10d,56,0.06913032518851361,COMPLETE,64.0,512.0,3.0,0.03007096217440997,32.0,2.0,32.0,12.0,3.570965951532284e-05,standard,0 days 00:00:09.819207,,,,,,,,,,,,
lstm,10d,57,0.06908967256182205,COMPLETE,64.0,512.0,3.0,0.10735470365028424,31.0,2.0,32.0,12.0,1.3755371784143085e-05,standard,0 days 00:00:09.676277,,,,,,,,,,,,
lstm,10d,58,0.0691266959504607,COMPLETE,64.0,512.0,3.0,0.11005120402662665,32.0,2.0,32.0,12.0,1.464663374908121e-05,standard,0 days 00:00:09.738525,,,,,,,,,,,,
lstm,10d,59,0.06910806675856823,COMPLETE,64.0,512.0,3.0,0.05875648231271775,30.0,2.0,32.0,12.0,1.8913300094743543e-05,standard,0 days 00:00:09.680664,,,,,,,,,,,,
lstm,10d,60,0.0718876401938556,COMPLETE,64.0,512.0,3.0,0.04055238269347042,31.0,2.0,192.0,12.0,3.8734903041141104e-05,standard,0 days 00:00:10.661965,,,,,,,,,,,,
lstm,10d,61,0.06910099254293058,COMPLETE,64.0,512.0,3.0,0.019169224316708845,31.0,2.0,32.0,12.0,1.3259054394978496e-05,standard,0 days 00:00:09.715754,,,,,,,,,,,,
lstm,10d,62,0.06910276702530345,COMPLETE,64.0,512.0,3.0,0.01557006309400392,32.0,2.0,32.0,12.0,1.3821571773838847e-05,standard,0 days 00:00:09.679104,,,,,,,,,,,,
lstm,10d,63,0.06914583442409117,COMPLETE,64.0,512.0,3.0,0.023857881682852033,31.0,2.0,32.0,12.0,1.965665606185212e-05,standard,0 days 00:00:09.688563,,,,,,,,,,,,
lstm,10d,64,0.06910439859020306,COMPLETE,64.0,512.0,3.0,0.054201113890788466,30.0,2.0,32.0,12.0,1.3626687833153488e-05,standard,0 days 00:00:09.655370,,,,,,,,,,,,
lstm,10d,65,0.06911577668233346,COMPLETE,64.0,512.0,3.0,0.11238970804939938,31.0,2.0,32.0,12.0,2.5679144189894056e-05,standard,0 days 00:00:09.657081,,,,,,,,,,,,
lstm,10d,66,0.06909487598705624,COMPLETE,64.0,384.0,3.0,0.06397902949892086,32.0,2.0,32.0,12.0,1.6559849819570175e-05,standard,0 days 00:00:09.763930,,,,,,,,,,,,
lstm,10d,67,0.07619344272162717,COMPLETE,64.0,384.0,3.0,0.06385110968355516,32.0,2.0,32.0,120.0,1.0042432852348294e-05,standard,0 days 00:00:09.194140,,,,,,,,,,,,
lstm,10d,68,0.06931882436399314,COMPLETE,64.0,384.0,3.0,0.20740135086306932,30.0,3.0,32.0,12.0,1.728184488611403e-05,standard,0 days 00:00:10.578681,,,,,,,,,,,,
lstm,10d,69,0.06918992358938134,COMPLETE,64.0,384.0,3.0,0.04034683075618817,32.0,2.0,32.0,12.0,3.0589671780598287e-05,standard,0 days 00:00:09.790466,,,,,,,,,,,,
lstm,10d,70,0.07601436257235669,COMPLETE,64.0,32.0,3.0,0.10450140192388142,33.0,2.0,192.0,12.0,2.043345713900639e-05,standard,0 days 00:00:10.585244,,,,,,,,,,,,
lstm,10d,71,0.0691061931225199,COMPLETE,64.0,512.0,3.0,0.018741769657794026,31.0,2.0,32.0,12.0,1.2552921118186032e-05,standard,0 days 00:00:09.646554,,,,,,,,,,,,
lstm,10d,72,0.0691124172887249,COMPLETE,64.0,512.0,3.0,0.04561985139734802,30.0,2.0,32.0,12.0,1.4769685834428412e-05,standard,0 days 00:00:09.705721,,,,,,,,,,,,
lstm,10d,73,0.06906959917031297,COMPLETE,64.0,512.0,3.0,0.06885976159048213,31.0,2.0,32.0,12.0,4.1959100106170284e-05,standard,0 days 00:00:09.735629,,,,,,,,,,,,
lstm,10d,74,0.06929287335312319,COMPLETE,64.0,256.0,3.0,0.07049013808833043,34.0,2.0,32.0,12.0,4.419950032752043e-05,standard,0 days 00:00:09.695246,,,,,,,,,,,,
lstm,10d,75,0.0777426424966833,COMPLETE,64.0,384.0,3.0,0.3279809433305326,32.0,2.0,32.0,96.0,2.830494376496405e-05,standard,0 days 00:00:10.019168,,,,,,,,,,,,
lstm,10d,76,0.07725311902904253,COMPLETE,64.0,512.0,3.0,0.15803116295149,30.0,2.0,32.0,72.0,2.236802537546065e-05,robust,0 days 00:00:09.736170,,,,,,,,,,,,
lstm,10d,77,0.07800663199327298,COMPLETE,64.0,512.0,4.0,0.03239420836125543,31.0,2.0,512.0,48.0,1.5966477383860652e-05,standard,0 days 00:00:15.490921,,,,,,,,,,,,
lstm,10d,78,0.07048448347618351,COMPLETE,64.0,512.0,3.0,0.09809424288664376,31.0,3.0,256.0,24.0,1.1736654458487658e-05,standard,0 days 00:00:15.230425,,,,,,,,,,,,
lstm,10d,79,0.069404653570753,COMPLETE,64.0,512.0,2.0,0.044142739207113854,32.0,2.0,32.0,12.0,2.3836184910681104e-05,standard,0 days 00:00:09.019661,,,,,,,,,,,,
lstm,10d,80,0.08421867282189352,COMPLETE,64.0,384.0,3.0,0.07364486149832147,30.0,1.0,32.0,120.0,8.558806725824141e-05,standard,0 days 00:00:06.907955,,,,,,,,,,,,
lstm,10d,81,0.06910361708361229,COMPLETE,64.0,512.0,3.0,0.013200432130837186,31.0,2.0,32.0,12.0,1.2516444804668326e-05,standard,0 days 00:00:08.514699,,,,,,,,,,,,
lstm,10d,82,0.06912809663194212,COMPLETE,64.0,512.0,3.0,0.028269601945698018,30.0,2.0,32.0,12.0,2.00762150863544e-05,standard,0 days 00:00:09.206667,,,,,,,,,,,,
lstm,10d,83,0.0691054812824249,COMPLETE,64.0,512.0,3.0,0.016384229129147734,31.0,2.0,32.0,12.0,1.1843729821333733e-05,standard,0 days 00:00:09.737595,,,,,,,,,,,,
lstm,10d,84,0.0691113968151775,COMPLETE,64.0,512.0,3.0,0.05339800294448986,32.0,2.0,128.0,12.0,1.608031111235914e-05,standard,0 days 00:00:09.733118,,,,,,,,,,,,
lstm,10d,85,0.0699094016598861,COMPLETE,64.0,192.0,3.0,0.0104326241853133,33.0,2.0,384.0,12.0,3.544260368698386e-05,standard,0 days 00:00:10.470225,,,,,,,,,,,,
lstm,10d,86,0.07587896336070346,COMPLETE,64.0,32.0,3.0,0.03521287029643018,30.0,2.0,32.0,12.0,1.4049157481958235e-05,robust,0 days 00:00:09.760717,,,,,,,,,,,,
lstm,10d,87,0.06909379269027395,COMPLETE,64.0,512.0,3.0,0.42022426326988116,45.0,2.0,32.0,12.0,1.0662452017323838e-05,standard,0 days 00:00:09.672397,,,,,,,,,,,,
lstm,10d,88,0.06950494461208571,COMPLETE,128.0,256.0,3.0,0.3216007070191448,45.0,2.0,32.0,12.0,1.1471719194578406e-05,standard,0 days 00:00:09.813261,,,,,,,,,,,,
lstm,10d,89,0.0776401486486124,COMPLETE,64.0,512.0,4.0,0.14635170220275423,44.0,2.0,192.0,96.0,1.035007103849141e-05,standard,0 days 00:00:22.974501,,,,,,,,,,,,
lstm,10d,90,0.06910767586727252,COMPLETE,64.0,512.0,3.0,0.06289606432873546,43.0,2.0,32.0,12.0,2.222686242301012e-05,standard,0 days 00:00:09.610838,,,,,,,,,,,,
lstm,10d,91,0.06911465248017956,COMPLETE,64.0,512.0,3.0,0.027667746135434903,39.0,2.0,32.0,12.0,1.720527573518949e-05,standard,0 days 00:00:09.734811,,,,,,,,,,,,
lstm,10d,92,0.06909226981014535,COMPLETE,64.0,512.0,3.0,0.4384663129592813,31.0,2.0,32.0,12.0,1.3294213527973357e-05,standard,0 days 00:00:09.714145,,,,,,,,,,,,
lstm,10d,93,0.06911030386055059,COMPLETE,64.0,512.0,3.0,0.48984106156214335,30.0,2.0,32.0,12.0,1.0169102571476151e-05,standard,0 days 00:00:09.693518,,,,,,,,,,,,
lstm,10d,94,0.06875495074460339,COMPLETE,64.0,512.0,3.0,0.41212090597596474,31.0,2.0,512.0,12.0,1.5619385104285552e-05,standard,0 days 00:00:10.600428,,,,,,,,,,,,
lstm,10d,95,0.07890672578794738,COMPLETE,64.0,512.0,3.0,0.43446800250954665,40.0,2.0,512.0,48.0,1.9971070868504735e-05,standard,0 days 00:00:15.421410,,,,,,,,,,,,
lstm,10d,96,0.07825571260106412,COMPLETE,64.0,512.0,3.0,0.4405065684733277,36.0,2.0,256.0,72.0,1.2634174914053959e-05,standard,0 days 00:00:16.520893,,,,,,,,,,,,
lstm,10d,97,0.06925406576872348,COMPLETE,64.0,384.0,3.0,0.4045711962066373,31.0,2.0,512.0,12.0,2.548219348705043e-05,standard,0 days 00:00:10.561821,,,,,,,,,,,,
lstm,10d,98,0.07250423480831214,COMPLETE,64.0,512.0,3.0,0.414526774713545,31.0,2.0,512.0,24.0,1.5186363058756764e-05,standard,0 days 00:00:12.308647,,,,,,,,,,,,
lstm,10d,99,0.07532755015675259,COMPLETE,64.0,192.0,2.0,0.2203731487675537,30.0,3.0,512.0,12.0,1.1674595575785945e-05,robust,0 days 00:00:12.212222,,,,,,,,,,,,
lstm,10d,100,0.06945687678882913,COMPLETE,128.0,512.0,3.0,0.4211968967009731,31.0,1.0,128.0,12.0,1.740755416704721e-05,standard,0 days 00:00:08.224613,,,,,,,,,,,,
lstm,10d,101,0.0691049243279845,COMPLETE,64.0,512.0,3.0,0.4806026016803838,32.0,2.0,32.0,12.0,1.405834747787035e-05,standard,0 days 00:00:09.718871,,,,,,,,,,,,
lstm,10d,102,0.06910326823946004,COMPLETE,64.0,512.0,3.0,0.4464676118166724,32.0,2.0,32.0,12.0,1.8631367830860112e-05,standard,0 days 00:00:09.621362,,,,,,,,,,,,
lstm,10d,103,0.06908453463727822,COMPLETE,64.0,512.0,3.0,0.39817462024248407,30.0,2.0,32.0,12.0,1.543718603613024e-05,standard,0 days 00:00:09.714291,,,,,,,,,,,,
lstm,10d,104,0.06913695439691803,COMPLETE,64.0,512.0,3.0,0.39607366263198773,30.0,2.0,32.0,12.0,1.0005072453856726e-05,standard,0 days 00:00:09.696632,,,,,,,,,,,,
lstm,10d,105,0.06910695892907148,COMPLETE,64.0,512.0,3.0,0.471140204184775,30.0,2.0,32.0,12.0,1.3156423600368055e-05,standard,0 days 00:00:09.681785,,,,,,,,,,,,
lstm,10d,106,0.0749270656517998,COMPLETE,64.0,128.0,3.0,0.4183248573154066,31.0,2.0,32.0,36.0,2.2360746188791596e-05,standard,0 days 00:00:09.678934,,,,,,,,,,,,
lstm,10d,107,0.07095125627279214,COMPLETE,64.0,512.0,3.0,0.42952172068175,30.0,2.0,384.0,12.0,2.8427664560058243e-05,standard,0 days 00:00:10.577637,,,,,,,,,,,,
lstm,10d,108,0.0794923454373332,COMPLETE,64.0,32.0,3.0,0.36651986852077295,31.0,2.0,32.0,120.0,1.1339427681875394e-05,standard,0 days 00:00:09.217556,,,,,,,,,,,,
lstm,10d,109,0.08291942859950557,COMPLETE,64.0,512.0,3.0,0.4630755668736354,30.0,2.0,32.0,12.0,1.5617045927901222e-05,minmax,0 days 00:00:09.859220,,,,,,,,,,,,
lstm,10d,110,0.0689587577636221,COMPLETE,16.0,384.0,3.0,0.38914270716711885,31.0,2.0,64.0,12.0,3.3170476372792866e-05,standard,0 days 00:00:09.952362,,,,,,,,,,,,
lstm,10d,111,0.06900152427177471,COMPLETE,16.0,384.0,3.0,0.39263719959487636,31.0,2.0,64.0,12.0,4.541194857415775e-05,standard,0 days 00:00:09.965813,,,,,,,,,,,,
lstm,10d,112,0.06903285403556214,COMPLETE,16.0,384.0,3.0,0.3884745430592196,35.0,2.0,64.0,12.0,6.704053494000955e-05,standard,0 days 00:00:09.973482,,,,,,,,,,,,
lstm,10d,113,0.06894156349020622,COMPLETE,16.0,384.0,3.0,0.38724998922057363,31.0,2.0,64.0,12.0,4.4568336565111126e-05,standard,0 days 00:00:09.843796,,,,,,,,,,,,
lstm,10d,114,0.06896955407428511,COMPLETE,16.0,384.0,3.0,0.35340720982310264,31.0,2.0,64.0,12.0,4.2790120468297544e-05,standard,0 days 00:00:09.901879,,,,,,,,,,,,
lstm,10d,115,0.06897468778116594,COMPLETE,16.0,384.0,3.0,0.3512900591477189,31.0,2.0,64.0,12.0,4.5491105967640684e-05,standard,0 days 00:00:09.898996,,,,,,,,,,,,
lstm,10d,116,0.06906082508285408,COMPLETE,16.0,384.0,3.0,0.35001749012850875,33.0,2.0,64.0,12.0,6.754767760656309e-05,standard,0 days 00:00:09.894822,,,,,,,,,,,,
lstm,10d,117,0.06911418493042232,COMPLETE,16.0,384.0,3.0,0.34449258713856856,35.0,2.0,64.0,12.0,7.000981237118467e-05,standard,0 days 00:00:09.910166,,,,,,,,,,,,
lstm,10d,118,0.06904751068271903,COMPLETE,16.0,384.0,3.0,0.38402377996835596,33.0,2.0,64.0,12.0,5.6669486465255796e-05,standard,0 days 00:00:09.773450,,,,,,,,,,,,
lstm,10d,119,0.08625633753930723,COMPLETE,16.0,384.0,3.0,0.38433488021018086,34.0,2.0,64.0,96.0,6.066828891836622e-05,standard,0 days 00:00:10.095149,,,,,,,,,,,,
lstm,10d,120,0.07512231709620516,COMPLETE,16.0,384.0,3.0,0.35637537989547546,33.0,2.0,64.0,12.0,9.450164227687991e-05,standard,0 days 00:00:09.762999,,,,,,,,,,,,
lstm,10d,121,0.06896055295267062,COMPLETE,16.0,384.0,3.0,0.39365436685661914,33.0,2.0,64.0,12.0,4.4985830112022534e-05,standard,0 days 00:00:09.868441,,,,,,,,,,,,
lstm,10d,122,0.06898235736896406,COMPLETE,16.0,384.0,3.0,0.39521371008050893,34.0,2.0,64.0,12.0,4.616470124709375e-05,standard,0 days 00:00:09.838391,,,,,,,,,,,,
lstm,10d,123,0.06895644440765922,COMPLETE,16.0,384.0,3.0,0.3550925402170454,34.0,2.0,64.0,12.0,4.36416034020171e-05,standard,0 days 00:00:09.954455,,,,,,,,,,,,
lstm,10d,124,0.06896205540010655,COMPLETE,16.0,384.0,3.0,0.34239224702018534,34.0,2.0,64.0,12.0,4.4137728244459894e-05,standard,0 days 00:00:09.861366,,,,,,,,,,,,
lstm,10d,125,0.06898554301948527,COMPLETE,16.0,384.0,3.0,0.3496550311485858,35.0,2.0,64.0,12.0,5.329255492994589e-05,standard,0 days 00:00:09.894440,,,,,,,,,,,,
lstm,10d,126,0.0879971670058295,COMPLETE,16.0,384.0,3.0,0.3367216435442975,35.0,2.0,64.0,48.0,5.037363689154151e-05,standard,0 days 00:00:09.970591,,,,,,,,,,,,
lstm,10d,127,0.08136894992625715,COMPLETE,16.0,384.0,3.0,0.37537990617881345,34.0,2.0,64.0,72.0,4.67448186688376e-05,robust,0 days 00:00:10.052828,,,,,,,,,,,,
lstm,10d,128,0.06899203907690868,COMPLETE,16.0,384.0,3.0,0.3635717602774893,34.0,2.0,64.0,12.0,5.723809742015639e-05,standard,0 days 00:00:09.841841,,,,,,,,,,,,
lstm,10d,129,0.08932776024111988,COMPLETE,16.0,384.0,3.0,0.365508378557136,34.0,2.0,64.0,24.0,3.470657331240199e-05,minmax,0 days 00:00:09.747432,,,,,,,,,,,,
lstm,10d,130,0.08510689095299884,COMPLETE,16.0,384.0,3.0,0.3154073863087485,35.0,2.0,64.0,12.0,0.0001277107059456727,standard,0 days 00:00:09.936436,,,,,,,,,,,,
lstm,10d,131,0.06895730354089295,COMPLETE,16.0,384.0,3.0,0.38385858956865104,34.0,2.0,64.0,12.0,4.1175796368066053e-05,standard,0 days 00:00:09.835824,,,,,,,,,,,,
lstm,10d,132,0.06895971330500844,COMPLETE,16.0,384.0,3.0,0.39474105242159774,34.0,2.0,64.0,12.0,4.016580338360944e-05,standard,0 days 00:00:09.886933,,,,,,,,,,,,
lstm,10d,133,0.06898808724676725,COMPLETE,16.0,384.0,3.0,0.3750003673204749,34.0,2.0,64.0,12.0,4.084930075361974e-05,standard,0 days 00:00:09.794505,,,,,,,,,,,,
lstm,10d,134,0.06899620301147293,COMPLETE,16.0,384.0,3.0,0.4052274070951096,34.0,2.0,64.0,12.0,3.850474002272989e-05,standard,0 days 00:00:09.317037,,,,,,,,,,,,
lstm,10d,135,0.07006339185947948,COMPLETE,16.0,384.0,3.0,0.35645986837723653,34.0,2.0,64.0,12.0,8.009464398556509e-05,standard,0 days 00:00:08.532736,,,,,,,,,,,,
