model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
tft,10d,102,0.05700583545611104,COMPLETE,64.0,,,0.19910971809477523,44.0,,256.0,48.0,4.314862481786179e-05,minmax,0 days 00:05:11.456443,0.3084740653420398,2.0,,,,,,,,,,
tft,10d,103,0.05822628263598263,COMPLETE,64.0,,,0.1779715427154778,44.0,,256.0,48.0,4.7208583393944555e-05,minmax,0 days 00:05:12.021315,0.3040771020163633,2.0,,,,,,,,,,
tft,10d,104,0.05631233280420414,COMPLETE,64.0,,,0.1965480418493337,45.0,,256.0,48.0,3.9633893289247455e-05,minmax,0 days 00:05:12.666622,0.32366116602058026,2.0,,,,,,,,,,
tft,10d,105,0.056506624936928526,COMPLETE,64.0,,,0.19245954164599408,44.0,,256.0,48.0,4.077313369647918e-05,minmax,0 days 00:05:11.606636,0.324477949874791,2.0,,,,,,,,,,
tft,10d,106,0.056086563994370835,COMPLETE,64.0,,,0.19700706882716384,43.0,,256.0,48.0,3.961437070451058e-05,minmax,0 days 00:05:13.163015,0.31961439594202273,2.0,,,,,,,,,,
tft,10d,107,0.05946195179603116,COMPLETE,64.0,,,0.2022783836248713,43.0,,384.0,48.0,3.76621944970249e-05,minmax,0 days 00:09:03.099785,0.3211127245990834,2.0,,,,,,,,,,
tft,10d,108,0.05621695896205479,COMPLETE,64.0,,,0.22125571979918232,44.0,,256.0,48.0,3.190200652162337e-05,minmax,0 days 00:05:14.385125,0.33547117806722615,2.0,,,,,,,,,,
tft,10d,109,0.07822544130023815,COMPLETE,64.0,,,0.22327919919893646,44.0,,256.0,48.0,2.096310359967469e-05,minmax,0 days 00:05:27.279278,0.3315303286872791,8.0,,,,,,,,,,
tft,10d,110,0.08112618876039213,COMPLETE,64.0,,,0.21057144728114083,42.0,,128.0,48.0,2.7778773217615112e-05,minmax,0 days 00:02:28.969810,0.34867962971817656,2.0,,,,,,,,,,
tft,10d,111,0.05649401422123064,COMPLETE,64.0,,,0.1948980766407106,44.0,,256.0,48.0,3.342281406423687e-05,minmax,0 days 00:05:11.072242,0.32243646830857353,2.0,,,,,,,,,,
tft,10d,112,0.05603101175646079,COMPLETE,64.0,,,0.2456695612559421,44.0,,256.0,48.0,3.275460956814624e-05,minmax,0 days 00:05:10.210224,0.32197124541610483,2.0,,,,,,,,,,
tft,10d,113,0.05595705159537745,COMPLETE,64.0,,,0.24142894994576575,43.0,,256.0,48.0,3.4304730714335965e-05,minmax,0 days 00:05:10.802740,0.3249560654262802,2.0,,,,,,,,,,
tft,10d,114,0.056395565317263044,COMPLETE,64.0,,,0.2538540255256021,43.0,,256.0,48.0,3.2982986274385536e-05,minmax,0 days 00:05:10.669919,0.3262468562984001,2.0,,,,,,,,,,
