unique_id,n_rows,P90,MAE,RMSE,R2,relMAE,mae_over_mean
sant-antoni-de-portmany,465,59.33198928833008,1.0941395790346207,1.8311345627561826,-0.11510773281742526,0.018440972435923794,0.1992070885869611
cala-vedella-platja,465,187.5407104492191,5.467529696546575,8.207605227729287,-0.7842527008677795,0.029153828432504702,0.5973687285935521
cala-vedella-port,467,41.0,1.6810326877446962,2.0972316153957324,-0.3461596881981137,0.041000797262065763,0.28464186554632814
badia-de-pollenca,468,20.0,1.9832427157805517,2.406780326438662,-0.01661284872106017,0.09916213578902758,0.27492819638190114
son-serra-de-marina,462,42.0,4.406698150423182,5.508715137528436,-0.3679689706156297,0.10492138453388529,0.6231694354133793
can-pastilla,324,58.15365219116211,9.267038629470784,12.132185757540917,-0.9473458300954207,0.1593543703671141,0.9685550051446884
